"ID","Name","Region","Unit","YEAR","MONTH","START","END","TMINavg_F","TMINmin_F","TMINmax_F","TMINnull_pcnt","SNWDavg_in","SNWDmin_in","SNWDmax_in","SNWDnull_pcnt"
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","01","1980-01-01","1980-02-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","02","1980-02-01","1980-03-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","03","1980-03-01","1980-04-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","04","1980-04-01","1980-05-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","05","1980-05-01","1980-06-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","06","1980-06-01","1980-07-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","07","1980-07-01","1980-08-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","08","1980-08-01","1980-09-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","09","1980-09-01","1980-10-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","10","1980-10-01","1980-11-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","11","1980-11-01","1980-12-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1980","12","1980-12-01","1981-01-01",NA,NA,NA,100,NA,NA,NA,100
"USS0050L02S","Kenai Moose Pens",2,"15A","1981","01","1981-01-01","1981-02-01",NA,NA,NA,100,NA,NA,NA,100
